Date,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU)
2017-09-01,2777.9100000000003,2532.39,118.25999999999999,89.18,567.42,497.69
2017-09-02,2777.9100000000003,2563.37,118.25999999999999,92.28,567.42,495.64
2017-09-03,2777.7700000000004,2533.23,118.25999999999999,92.57,567.42,473.04999999999995
2017-09-04,2777.7700000000004,2714.2799999999997,118.25999999999999,92.62,567.42,500.36
2017-09-05,2790.8500000000004,2779.65,118.25999999999999,92.71,567.42,470.16
2017-09-06,2808.53,2831.11,118.25999999999999,93.11,567.42,499.97
2017-09-07,2818.06,2879.52,118.25999999999999,93.09,567.42,501.79999999999995
2017-09-08,2828.45,2905.2400000000002,118.25999999999999,93.16,567.42,497.74000000000007
2017-09-09,2834.3300000000004,2945.65,118.25999999999999,93.22999999999999,567.42,494.27
2017-09-10,2826.12,2952.3300000000004,118.25999999999999,94.08000000000001,567.42,460.63999999999993
2017-09-11,2829.37,2971.0500000000006,118.25999999999999,94.03,567.42,522.56
2017-09-12,2829.37,2987.1099999999997,118.25999999999999,93.05000000000001,567.42,530.74
2017-09-13,2834.15,3031.18,118.25999999999999,89.43,567.42,504.62
2017-09-14,2839.56,3000.3999999999996,118.25999999999999,83.87,567.42,479.46000000000004
2017-09-15,2866.57,3008.53,118.25999999999999,80.32,567.42,474.34
2017-09-16,2879.78,3004.39,118.25999999999999,82.62,567.42,411.5
2017-09-17,2870.9,2791.4199999999996,118.25999999999999,89.69,567.42,390.54
2017-09-18,2870.9,2773.7200000000003,118.25999999999999,87.7,567.42,400.94
2017-09-19,2870.9,2796.98,118.25999999999999,85.23,567.42,404.46000000000004
2017-09-20,2855.63,2786.0400000000004,118.25999999999999,85.13,567.42,424.95000000000005
2017-09-21,2867.8300000000004,2843.8100000000004,118.25999999999999,85.25,567.42,449.42999999999995
2017-09-22,1072.53,961.5000000000001,0.0,0.0,116.72,68.54
2017-09-23,2862.3200000000006,2713.2700000000004,118.25999999999999,89.49000000000001,567.42,497.92
2017-09-24,2866.7500000000005,2712.45,118.25999999999999,90.64,567.42,470.32000000000005
2017-09-25,2870.5800000000004,2806.2700000000004,118.25999999999999,90.63999999999999,567.42,498.23
2017-09-26,2873.1800000000003,2902.1600000000003,118.25999999999999,87.97,567.42,472.20000000000005
2017-09-27,2873.1800000000003,2926.6600000000003,118.25999999999999,81.55,567.42,459.1
2017-09-28,2877.07,2883.69,118.25999999999999,81.82,567.42,450.84
2017-09-29,2887.58,2785.33,118.25999999999999,92.89000000000001,567.42,439.88999999999993
2017-09-30,2887.58,2704.21,118.25999999999999,93.12,567.42,423.66999999999996
2017-10-01,2861.41,2668.3700000000003,98.66,93.17,387.16,385.16
2017-10-03,2861.41,2855.92,98.66,94.77,387.16,428.36
2017-10-04,2861.41,2891.62,98.66,96.72,387.16,449.56
2017-10-05,2856.93,2959.28,98.66,98.03999999999999,387.16,427.04
2017-10-06,2862.54,2957.2200000000003,98.66,98.57,387.16,406.90999999999997
2017-10-07,2862.54,2960.54,98.66,98.96000000000001,387.16,402.26
2017-10-08,2871.42,2843.55,98.66,99.19999999999999,387.16,380.64
2017-10-09,2875.8999999999996,2882.1399999999994,98.66,98.99,387.16,395.67
2017-10-10,2875.8999999999996,2908.13,98.66,97.94,387.16,413.96000000000004
2017-10-11,2891.8999999999996,2924.24,98.66,98.34,387.16,402.34999999999997
2017-10-12,2891.8999999999996,2939.66,98.66,98.83,387.16,399.90000000000003
2017-10-13,2891.8999999999996,2926.9300000000003,98.66,99.41,387.16,397.88
2017-10-14,2888.8599999999997,2896.12,98.66,99.32,387.16,381.44
2017-10-15,2899.42,2751.86,98.66,99.64,387.16,371.89000000000004
2017-10-16,2900.3799999999997,2805.88,98.66,101.42,387.16,350.16
2017-10-17,2903.42,2904.1,98.66,103.91,387.16,360.82
2017-10-18,2890.42,2835.87,98.66,105.58,387.16,337.35999999999996
2017-10-19,2902.9,2666.31,98.66,94.82000000000001,387.16,329.48999999999995
2017-10-20,2865.0800000000004,2563.03,98.66,96.75999999999999,387.16,328.98999999999995
2017-10-21,2854.03,2585.75,98.66,97.8,387.16,315.98999999999995
2017-10-22,2849.46,2593.89,98.66,99.56,387.16,302.37000000000006
