,index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Year,Month,Region Number
3,3,2017-09-01,Eastern,441.02,429.39,0.0,0.0,85.94,69.36,2017,9,0
8,8,2017-09-02,Eastern,441.02,425.75,0.0,0.0,85.94,74.18,2017,9,0
13,13,2017-09-03,Eastern,445.38,427.61,0.0,0.0,85.94,71.05,2017,9,0
18,18,2017-09-04,Eastern,445.38,450.85,0.0,0.0,85.94,75.21,2017,9,0
23,23,2017-09-05,Eastern,449.92,459.09,0.0,0.0,85.94,70.29,2017,9,0
28,28,2017-09-06,Eastern,449.92,464.82,0.0,0.0,85.94,76.43,2017,9,0
33,33,2017-09-07,Eastern,449.92,461.96,0.0,0.0,85.94,75.34,2017,9,0
38,38,2017-09-08,Eastern,455.66,454.88,0.0,0.0,85.94,81.48,2017,9,0
43,43,2017-09-09,Eastern,455.66,455.25,0.0,0.0,85.94,80.46,2017,9,0
48,48,2017-09-10,Eastern,455.66,432.59,0.0,0.0,85.94,72.65,2017,9,0
53,53,2017-09-11,Eastern,455.66,435.21,0.0,0.0,85.94,77.93,2017,9,0
58,58,2017-09-12,Eastern,455.66,440.93,0.0,0.0,85.94,71.55,2017,9,0
63,63,2017-09-13,Eastern,455.66,450.83,0.0,0.0,85.94,72.06,2017,9,0
68,68,2017-09-14,Eastern,455.66,450.78,0.0,0.0,85.94,77.8,2017,9,0
73,73,2017-09-15,Eastern,484.74,438.75,0.0,0.0,85.94,83.76,2017,9,0
78,78,2017-09-16,Eastern,486.07,443.23,0.0,0.0,85.94,79.07,2017,9,0
83,83,2017-09-17,Eastern,486.07,421.62,0.0,0.0,85.94,72.32,2017,9,0
88,88,2017-09-18,Eastern,486.07,390.63,0.0,0.0,85.94,67.06,2017,9,0
93,93,2017-09-19,Eastern,486.07,417.92,0.0,0.0,85.94,69.41,2017,9,0
98,98,2017-09-20,Eastern,486.07,418.22,0.0,0.0,85.94,66.42,2017,9,0
103,103,2017-09-21,Eastern,486.07,438.6,0.0,0.0,85.94,76.02,2017,9,0
108,108,2017-09-22,Eastern,147.51,138.3,0.0,0.0,3.37,2.65,2017,9,0
113,113,2017-09-23,Eastern,486.07,436.38,0.0,0.0,85.94,73.2,2017,9,0
118,118,2017-09-24,Eastern,486.07,437.88,0.0,0.0,85.94,64.41,2017,9,0
123,123,2017-09-25,Eastern,486.07,449.09,0.0,0.0,85.94,71.43,2017,9,0
128,128,2017-09-26,Eastern,486.07,453.26,0.0,0.0,85.94,72.9,2017,9,0
133,133,2017-09-27,Eastern,486.07,445.78,0.0,0.0,85.94,73.83,2017,9,0
138,138,2017-09-28,Eastern,486.07,431.07,0.0,0.0,85.94,70.97,2017,9,0
143,143,2017-09-29,Eastern,486.07,417.12,0.0,0.0,85.94,71.65,2017,9,0
148,148,2017-09-30,Eastern,486.07,403.41,0.0,0.0,85.94,71.71,2017,9,0
153,153,2017-10-01,Eastern,479.5,382.63,0.0,0.0,63.36,71.06,2017,10,0
158,158,2017-10-03,Eastern,479.5,396.4,0.0,0.0,63.36,76.3,2017,10,0
163,163,2017-10-04,Eastern,479.5,387.92,0.0,0.0,63.36,80.68,2017,10,0
