,index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Year,Month,Region Number
1,1,2017-09-01,Western,1106.89,1024.33,25.17,3.81,72.0,21.53,2017,9,4
6,6,2017-09-02,Western,1106.89,1050.91,25.17,3.83,72.0,23.97,2017,9,4
11,11,2017-09-03,Western,1106.89,1066.73,25.17,3.8,72.0,13.94,2017,9,4
16,16,2017-09-04,Western,1106.89,1115.43,25.17,3.81,72.0,37.38,2017,9,4
21,21,2017-09-05,Western,1106.89,1131.78,25.17,3.83,72.0,28.78,2017,9,4
26,26,2017-09-06,Western,1124.57,1171.82,25.17,3.84,72.0,40.94,2017,9,4
31,31,2017-09-07,Western,1124.57,1180.3,25.17,3.82,72.0,48.25,2017,9,4
36,36,2017-09-08,Western,1124.57,1189.75,25.17,3.83,72.0,35.86,2017,9,4
41,41,2017-09-09,Western,1128.66,1204.61,25.17,3.87,72.0,38.57,2017,9,4
46,46,2017-09-10,Western,1131.56,1218.51,25.17,3.84,72.0,33.9,2017,9,4
51,51,2017-09-11,Western,1131.56,1203.65,25.17,3.82,72.0,54.72,2017,9,4
56,56,2017-09-12,Western,1131.56,1194.99,25.17,3.81,72.0,74.08,2017,9,4
61,61,2017-09-13,Western,1131.56,1196.4,25.17,3.89,72.0,61.8,2017,9,4
66,66,2017-09-14,Western,1131.56,1209.96,25.17,3.86,72.0,62.05,2017,9,4
71,71,2017-09-15,Western,1131.56,1243.93,25.17,3.84,72.0,41.27,2017,9,4
76,76,2017-09-16,Western,1131.56,1228.99,25.17,3.83,72.0,17.06,2017,9,4
81,81,2017-09-17,Western,1131.56,1164.03,25.17,3.87,72.0,12.37,2017,9,4
86,86,2017-09-18,Western,1131.56,1172.61,25.17,3.85,72.0,15.09,2017,9,4
91,91,2017-09-19,Western,1131.56,1171.83,25.17,3.85,72.0,15.72,2017,9,4
96,96,2017-09-20,Western,1131.56,1138.76,25.17,3.85,72.0,19.65,2017,9,4
101,101,2017-09-21,Western,1131.56,1142.49,25.17,3.84,72.0,16.74,2017,9,4
106,106,2017-09-22,Western,419.55,409.17,0.0,0.0,44.54,3.8,2017,9,4
111,111,2017-09-23,Western,1135.69,1146.57,25.17,3.83,72.0,21.41,2017,9,4
116,116,2017-09-24,Western,1140.12,1168.59,25.17,3.83,72.0,16.95,2017,9,4
121,121,2017-09-25,Western,1140.12,1205.39,25.17,3.82,72.0,23.85,2017,9,4
126,126,2017-09-26,Western,1140.12,1237.06,25.17,3.84,72.0,28.24,2017,9,4
131,131,2017-09-27,Western,1140.12,1245.38,25.17,3.85,72.0,30.32,2017,9,4
136,136,2017-09-28,Western,1140.12,1241.16,25.17,3.83,72.0,26.39,2017,9,4
141,141,2017-09-29,Western,1140.12,1203.24,25.17,16.81,72.0,19.59,2017,9,4
146,146,2017-09-30,Western,1140.12,1134.4,25.17,16.82,72.0,18.41,2017,9,4
151,151,2017-10-01,Western,1155.3,1139.73,25.13,16.84,57.11,14.03,2017,10,4
156,156,2017-10-03,Western,1155.3,1215.31,25.13,16.83,57.11,39.96,2017,10,4
161,161,2017-10-04,Western,1155.3,1206.24,25.13,16.84,57.11,45.92,2017,10,4
166,166,2017-10-05,Western,1150.82,1221.59,25.13,16.83,57.11,33.89,2017,10,4
171,171,2017-10-06,Western,1150.82,1212.64,25.13,16.83,57.11,31.23,2017,10,4
176,176,2017-10-07,Western,1150.82,1203.27,25.13,16.83,57.11,24.51,2017,10,4
181,181,2017-10-08,Western,1150.82,1157.01,25.13,16.84,57.11,16.51,2017,10,4
186,186,2017-10-09,Western,1155.3,1160.06,25.13,16.83,57.11,18.71,2017,10,4
191,191,2017-10-10,Western,1155.3,1178.27,25.13,15.68,57.11,19.31,2017,10,4
196,196,2017-10-11,Western,1155.3,1191.84,25.13,16.02,57.11,19.11,2017,10,4
201,201,2017-10-12,Western,1155.3,1219.13,25.13,16.63,57.11,19.93,2017,10,4
206,206,2017-10-13,Western,1155.3,1226.64,25.13,16.88,57.11,21.27,2017,10,4
211,211,2017-10-14,Western,1155.3,1205.16,25.13,16.82,57.11,19.68,2017,10,4
216,216,2017-10-15,Western,1155.3,1180.41,25.13,16.89,57.11,17.75,2017,10,4
221,221,2017-10-16,Western,1155.3,1211.94,25.13,16.89,57.11,21.39,2017,10,4
226,226,2017-10-17,Western,1155.3,1219.8,25.13,16.86,57.11,18.38,2017,10,4
231,231,2017-10-18,Western,1155.3,1189.18,25.13,16.86,57.11,15.19,2017,10,4
236,236,2017-10-19,Western,1153.02,1121.42,25.13,16.85,57.11,14.78,2017,10,4
241,241,2017-10-20,Western,1128.44,1055.67,25.13,16.85,57.11,11.26,2017,10,4
246,246,2017-10-21,Western,1128.44,1056.42,25.13,16.87,57.11,15.28,2017,10,4
251,251,2017-10-22,Western,1128.44,1049.49,25.13,16.85,57.11,12.52,2017,10,4
256,256,2017-10-23,Western,1128.44,1131.33,25.13,16.85,57.11,17.87,2017,10,4
261,261,2017-10-24,Western,1128.44,1181.98,25.13,16.91,57.11,17.72,2017,10,4
266,266,2017-10-25,Western,1127.02,1198.23,25.13,16.77,57.11,22.42,2017,10,4
271,271,2017-10-26,Western,1127.02,1196.07,25.13,16.89,57.11,20.57,2017,10,4
276,276,2017-10-27,Western,1127.02,1204.84,25.13,16.85,57.11,22.28,2017,10,4
281,281,2017-10-28,Western,1127.02,1209.65,25.13,16.85,57.11,20.68,2017,10,4
286,286,2017-10-29,Western,1127.02,1191.91,25.13,16.84,57.11,17.71,2017,10,4
291,291,2017-10-30,Western,1127.02,1213.04,25.13,16.84,57.11,16.62,2017,10,4
296,296,2017-10-31,Western,1127.02,1229.73,25.13,16.85,57.11,20.03,2017,10,4
301,301,2017-11-01,Western,1100.43,1204.17,25.17,16.89,45.87,19.18,2017,11,4
306,306,2017-11-02,Western,1100.43,1204.19,25.17,16.87,45.87,22.3,2017,11,4
311,311,2017-11-03,Western,1101.82,1194.05,25.17,16.86,45.87,20.65,2017,11,4
316,316,2017-11-04,Western,1101.82,1144.65,25.17,16.85,45.87,19.4,2017,11,4
321,321,2017-11-05,Western,1099.82,1162.74,25.17,16.84,45.87,15.57,2017,11,4
326,326,2017-11-06,Western,1099.82,1221.96,25.17,16.87,45.87,25.61,2017,11,4
331,331,2017-11-07,Western,1099.82,1261.05,25.17,16.82,45.87,28.39,2017,11,4
336,336,2017-11-08,Western,1099.82,1238.8,25.17,16.88,45.87,29.9,2017,11,4
341,341,2017-11-09,Western,1099.82,1230.78,25.17,16.89,45.87,32.05,2017,11,4
346,346,2017-11-10,Western,1099.82,1199.8,25.17,16.87,45.87,30.66,2017,11,4
351,351,2017-11-11,Western,1099.82,1193.72,25.17,16.87,45.87,25.26,2017,11,4
356,356,2017-11-12,Western,1099.82,1167.47,25.17,16.86,45.87,19.38,2017,11,4
361,361,2017-11-13,Western,1099.82,1174.5,25.17,16.85,45.87,29.17,2017,11,4
366,366,2017-11-14,Western,1099.82,1179.94,25.17,16.84,45.87,29.15,2017,11,4
371,371,2017-11-15,Western,1098.68,1172.71,25.17,16.86,45.87,24.25,2017,11,4
376,376,2017-11-16,Western,1098.68,1173.19,25.17,16.95,45.87,25.5,2017,11,4
381,381,2017-11-17,Western,1093.3,1177.58,25.17,16.93,45.87,18.75,2017,11,4
386,386,2017-11-18,Western,1095.61,1176.45,25.17,16.91,45.87,18.78,2017,11,4
391,391,2017-11-19,Western,1133.28,1138.78,25.17,16.89,45.87,21.81,2017,11,4
396,396,2017-11-20,Western,1100.91,1154.1,25.17,16.88,45.87,21.09,2017,11,4
401,401,2017-11-21,Western,1100.91,1174.37,25.17,29.78,45.87,21.12,2017,11,4
406,406,2017-11-22,Western,1100.91,1169.4,25.17,29.81,45.87,20.34,2017,11,4
411,411,2017-11-23,Western,1100.91,1170.22,25.17,29.82,45.87,18.03,2017,11,4
416,416,2017-11-24,Western,1100.91,1183.26,25.17,29.82,45.87,17.53,2017,11,4
421,421,2017-11-25,Western,1100.91,1169.33,25.17,29.82,45.87,17.92,2017,11,4
426,426,2017-11-26,Western,1095.47,1136.79,25.17,29.81,45.87,13.98,2017,11,4
431,431,2017-11-27,Western,1103.72,1175.93,25.17,29.8,45.87,25.8,2017,11,4
436,436,2017-11-28,Western,1103.72,1174.72,25.17,29.86,45.87,35.41,2017,11,4
441,441,2017-11-29,Western,1103.72,1157.82,25.17,29.85,45.87,36.74,2017,11,4
446,446,2017-11-30,Western,1103.72,1159.77,25.17,29.9,45.87,19.92,2017,11,4
451,451,2017-12-01,Western,1056.13,1139.89,25.16,29.89,42.27,22.09,2017,12,4
456,456,2017-12-02,Western,1067.74,1130.34,25.16,29.87,42.27,20.27,2017,12,4
461,461,2017-12-03,Western,1067.74,1106.24,25.16,29.86,42.27,19.6,2017,12,4
466,466,2017-12-04,Western,1067.74,1116.18,25.16,29.84,42.27,19.57,2017,12,4
471,471,2017-12-05,Western,1069.81,1046.71,25.16,29.8,42.27,20.17,2017,12,4
476,476,2017-12-06,Western,1070.96,1075.48,25.16,28.45,42.27,21.11,2017,12,4
481,481,2017-12-07,Western,1070.96,1111.76,25.16,29.15,42.27,20.05,2017,12,4
486,486,2017-12-08,Western,1070.96,1159.01,25.16,29.67,42.27,16.7,2017,12,4
491,491,2017-12-09,Western,1070.96,1153.35,25.16,29.76,42.27,23.89,2017,12,4
496,496,2017-12-10,Western,1073.05,1123.38,25.16,29.86,42.27,18.8,2017,12,4
501,501,2017-12-11,Western,1073.05,1123.08,25.16,29.9,42.27,26.25,2017,12,4
506,506,2017-12-12,Western,1070.76,1151.5,25.16,29.75,42.27,21.73,2017,12,4
511,511,2017-12-13,Western,1070.76,1186.99,25.16,29.84,42.27,21.05,2017,12,4
516,516,2017-12-14,Western,1079.98,1151.45,25.16,29.97,42.27,23.42,2017,12,4
521,521,2017-12-15,Western,1079.98,1128.08,25.16,29.97,42.27,22.06,2017,12,4
526,526,2017-12-16,Western,1079.98,1096.61,25.16,29.96,42.27,17.93,2017,12,4
531,531,2017-12-17,Western,1079.98,1097.81,25.16,29.91,42.27,13.36,2017,12,4
536,536,2017-12-18,Western,1079.98,1133.85,25.16,29.9,42.27,20.96,2017,12,4
541,541,2017-12-19,Western,1079.98,1130.2,25.16,29.9,42.27,22.79,2017,12,4
546,546,2017-12-20,Western,1074.69,1164.43,25.16,29.89,42.27,18.14,2017,12,4
551,551,2017-12-21,Western,1080.14,1165.67,25.16,29.88,42.27,18.88,2017,12,4
556,556,2017-12-22,Western,1082.43,1187.66,25.16,29.86,42.27,17.34,2017,12,4
561,561,2017-12-23,Western,1082.43,1205.77,25.16,29.86,42.27,20.1,2017,12,4
566,566,2017-12-24,Western,1082.43,1193.93,25.16,29.9,42.27,17.62,2017,12,4
571,571,2017-12-25,Western,1082.43,1190.83,25.16,29.84,42.27,16.84,2017,12,4
576,576,2017-12-26,Western,1095.43,1199.41,25.16,27.73,42.27,20.01,2017,12,4
581,581,2017-12-27,Western,1108.92,1209.83,25.16,26.06,42.27,18.35,2017,12,4
586,586,2017-12-28,Western,1114.67,1201.15,25.16,26.19,42.27,17.57,2017,12,4
591,591,2017-12-29,Western,1114.67,1206.22,25.16,26.19,42.27,20.34,2017,12,4
596,596,2017-12-30,Western,1114.67,1186.15,25.16,26.21,42.27,18.51,2017,12,4
601,601,2017-12-31,Western,1114.67,1161.67,25.16,26.14,42.27,16.3,2017,12,4
606,606,2018-01-01,Western,1127.88,1152.31,25.19,26.14,41.22,19.88,2018,1,4
611,611,2018-01-02,Western,1127.88,1194.53,25.19,26.14,41.22,18.46,2018,1,4
616,616,2018-01-03,Western,1127.88,1202.38,25.19,26.14,41.22,23.3,2018,1,4
621,621,2018-01-04,Western,1127.88,1228.55,25.19,26.14,41.22,25.78,2018,1,4
626,626,2018-01-05,Western,1127.88,1248.63,25.19,26.2,41.22,25.89,2018,1,4
631,631,2018-01-06,Western,1117.67,1229.47,25.19,26.18,41.22,29.69,2018,1,4
