,index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Year,Month,Region Number
4,4,2017-09-01,NorthEastern,29.11,15.91,0.0,0.0,24.64,21.21,2017,9,1
9,9,2017-09-02,NorthEastern,29.11,16.5,0.0,0.0,24.64,20.81,2017,9,1
14,14,2017-09-03,NorthEastern,29.11,15.52,0.0,0.0,24.64,23.84,2017,9,1
19,19,2017-09-04,NorthEastern,29.11,16.85,0.0,0.0,24.64,24.1,2017,9,1
24,24,2017-09-05,NorthEastern,29.11,16.64,0.0,0.0,24.64,22.86,2017,9,1
29,29,2017-09-06,NorthEastern,29.11,16.44,0.0,0.0,24.64,27.8,2017,9,1
34,34,2017-09-07,NorthEastern,29.11,20.71,0.0,0.0,24.64,24.12,2017,9,1
39,39,2017-09-08,NorthEastern,29.11,20.85,0.0,0.0,24.64,24.32,2017,9,1
44,44,2017-09-09,NorthEastern,29.11,18.92,0.0,0.0,24.64,24.94,2017,9,1
49,49,2017-09-10,NorthEastern,29.11,23.01,0.0,0.0,24.64,26.7,2017,9,1
54,54,2017-09-11,NorthEastern,29.11,23.32,0.0,0.0,24.64,22.78,2017,9,1
59,59,2017-09-12,NorthEastern,29.11,25.41,0.0,0.0,24.64,24.12,2017,9,1
64,64,2017-09-13,NorthEastern,29.11,27.89,0.0,0.0,24.64,25.06,2017,9,1
69,69,2017-09-14,NorthEastern,29.11,29.45,0.0,0.0,24.64,24.85,2017,9,1
74,74,2017-09-15,NorthEastern,29.11,28.63,0.0,0.0,24.64,20.8,2017,9,1
79,79,2017-09-16,NorthEastern,29.11,29.85,0.0,0.0,24.64,19.61,2017,9,1
84,84,2017-09-17,NorthEastern,29.11,28.72,0.0,0.0,24.64,19.98,2017,9,1
89,89,2017-09-18,NorthEastern,29.11,28.67,0.0,0.0,24.64,20.88,2017,9,1
94,94,2017-09-19,NorthEastern,29.11,30.77,0.0,0.0,24.64,20.24,2017,9,1
99,99,2017-09-20,NorthEastern,29.11,30.31,0.0,0.0,24.64,21.97,2017,9,1
104,104,2017-09-21,NorthEastern,29.11,27.53,0.0,0.0,24.64,22.08,2017,9,1
109,109,2017-09-22,NorthEastern,12.34,12.38,0.0,0.0,0.0,0.0,2017,9,1
114,114,2017-09-23,NorthEastern,29.11,28.05,0.0,0.0,24.64,21.42,2017,9,1
119,119,2017-09-24,NorthEastern,29.11,29.49,0.0,0.0,24.64,24.36,2017,9,1
124,124,2017-09-25,NorthEastern,29.11,29.55,0.0,0.0,24.64,22.31,2017,9,1
129,129,2017-09-26,NorthEastern,29.11,30.02,0.0,0.0,24.64,21.85,2017,9,1
134,134,2017-09-27,NorthEastern,29.11,30.1,0.0,0.0,24.64,21.47,2017,9,1
139,139,2017-09-28,NorthEastern,29.11,30.25,0.0,0.0,24.64,22.83,2017,9,1
144,144,2017-09-29,NorthEastern,29.11,29.71,0.0,0.0,24.64,25.09,2017,9,1
149,149,2017-09-30,NorthEastern,29.11,29.41,0.0,0.0,24.64,27.65,2017,9,1
154,154,2017-10-01,NorthEastern,29.16,29.11,0.0,0.0,17.17,27.48,2017,10,1
159,159,2017-10-03,NorthEastern,29.16,29.33,0.0,0.0,17.17,25.78,2017,10,1
164,164,2017-10-04,NorthEastern,29.16,30.12,0.0,0.0,17.17,25.15,2017,10,1
169,169,2017-10-05,NorthEastern,29.16,31.05,0.0,0.0,17.17,24.35,2017,10,1
174,174,2017-10-06,NorthEastern,29.16,31.36,0.0,0.0,17.17,23.01,2017,10,1
179,179,2017-10-07,NorthEastern,29.16,30.95,0.0,0.0,17.17,21.94,2017,10,1
184,184,2017-10-08,NorthEastern,29.16,30.12,0.0,0.0,17.17,19.52,2017,10,1
189,189,2017-10-09,NorthEastern,29.16,30.21,0.0,0.0,17.17,20.29,2017,10,1
194,194,2017-10-10,NorthEastern,29.16,30.48,0.0,0.0,17.17,21.31,2017,10,1
199,199,2017-10-11,NorthEastern,29.16,30.17,0.0,0.0,17.17,21.88,2017,10,1
204,204,2017-10-12,NorthEastern,29.16,29.92,0.0,0.0,17.17,19.9,2017,10,1
209,209,2017-10-13,NorthEastern,29.16,29.63,0.0,0.0,17.17,21.15,2017,10,1
214,214,2017-10-14,NorthEastern,29.16,28.71,0.0,0.0,17.17,20.9,2017,10,1
219,219,2017-10-15,NorthEastern,29.16,29.87,0.0,0.0,17.17,23.29,2017,10,1
224,224,2017-10-16,NorthEastern,29.16,30.68,0.0,0.0,17.17,21.29,2017,10,1
229,229,2017-10-17,NorthEastern,29.16,34.05,0.0,0.0,17.17,20.2,2017,10,1
234,234,2017-10-18,NorthEastern,29.16,33.71,0.0,0.0,17.17,20.02,2017,10,1
239,239,2017-10-19,NorthEastern,29.16,31.1,0.0,0.0,17.17,17.45,2017,10,1
244,244,2017-10-20,NorthEastern,29.16,28.76,0.0,0.0,17.17,16.83,2017,10,1
249,249,2017-10-21,NorthEastern,29.16,27.34,0.0,0.0,17.17,17.32,2017,10,1
254,254,2017-10-22,NorthEastern,29.16,26.81,0.0,0.0,17.17,22.23,2017,10,1
259,259,2017-10-23,NorthEastern,29.16,28.16,0.0,0.0,17.17,23.78,2017,10,1
264,264,2017-10-24,NorthEastern,29.16,29.52,0.0,0.0,17.17,23.06,2017,10,1
269,269,2017-10-25,NorthEastern,29.16,28.7,0.0,0.0,17.17,22.27,2017,10,1
274,274,2017-10-26,NorthEastern,29.16,28.93,0.0,0.0,17.17,20.61,2017,10,1
279,279,2017-10-27,NorthEastern,29.16,28.62,0.0,0.0,17.17,19.41,2017,10,1
284,284,2017-10-28,NorthEastern,29.16,27.32,0.0,0.0,17.17,19.11,2017,10,1
289,289,2017-10-29,NorthEastern,29.16,28.06,0.0,0.0,17.17,19.27,2017,10,1
294,294,2017-10-30,NorthEastern,29.16,28.94,0.0,0.0,17.17,19.26,2017,10,1
299,299,2017-10-31,NorthEastern,29.16,28.6,0.0,0.0,17.17,19.04,2017,10,1
304,304,2017-11-01,NorthEastern,29.11,32.12,0.0,0.0,12.92,17.97,2017,11,1
309,309,2017-11-02,NorthEastern,29.11,33.99,0.0,0.0,12.92,16.71,2017,11,1
314,314,2017-11-03,NorthEastern,29.11,34.66,0.0,0.0,12.92,15.75,2017,11,1
319,319,2017-11-04,NorthEastern,29.11,32.35,0.0,0.0,12.92,15.76,2017,11,1
324,324,2017-11-05,NorthEastern,29.11,30.87,0.0,0.0,12.92,14.99,2017,11,1
329,329,2017-11-06,NorthEastern,29.11,34.79,0.0,0.0,12.92,15.88,2017,11,1
334,334,2017-11-07,NorthEastern,29.11,29.06,0.0,0.0,12.92,16.65,2017,11,1
339,339,2017-11-08,NorthEastern,29.11,33.27,0.0,0.0,12.92,16.57,2017,11,1
344,344,2017-11-09,NorthEastern,29.11,32.8,0.0,0.0,12.92,14.72,2017,11,1
349,349,2017-11-10,NorthEastern,29.11,32.1,0.0,0.0,12.92,15.26,2017,11,1
354,354,2017-11-11,NorthEastern,29.11,32.08,0.0,0.0,12.92,15.83,2017,11,1
359,359,2017-11-12,NorthEastern,29.11,30.1,0.0,0.0,12.92,15.14,2017,11,1
364,364,2017-11-13,NorthEastern,29.11,28.7,0.0,0.0,12.92,15.69,2017,11,1
369,369,2017-11-14,NorthEastern,29.11,30.15,0.0,0.0,12.92,16.16,2017,11,1
374,374,2017-11-15,NorthEastern,29.11,31.16,0.0,0.0,12.92,15.63,2017,11,1
379,379,2017-11-16,NorthEastern,29.11,31.84,0.0,0.0,12.92,15.83,2017,11,1
384,384,2017-11-17,NorthEastern,29.11,32.61,0.0,0.0,12.92,15.64,2017,11,1
389,389,2017-11-18,NorthEastern,29.11,31.69,0.0,0.0,12.92,15.34,2017,11,1
394,394,2017-11-19,NorthEastern,29.11,32.41,0.0,0.0,12.92,15.5,2017,11,1
399,399,2017-11-20,NorthEastern,29.11,32.42,0.0,0.0,12.92,15.28,2017,11,1
404,404,2017-11-21,NorthEastern,29.11,32.62,0.0,0.0,12.92,14.83,2017,11,1
409,409,2017-11-22,NorthEastern,29.11,28.91,0.0,0.0,12.92,16.18,2017,11,1
414,414,2017-11-23,NorthEastern,29.11,29.42,0.0,0.0,12.92,14.8,2017,11,1
419,419,2017-11-24,NorthEastern,29.11,29.45,0.0,0.0,12.92,15.56,2017,11,1
424,424,2017-11-25,NorthEastern,29.11,29.07,0.0,0.0,12.92,14.54,2017,11,1
429,429,2017-11-26,NorthEastern,29.11,29.87,0.0,0.0,12.92,14.56,2017,11,1
434,434,2017-11-27,NorthEastern,29.11,31.88,0.0,0.0,12.92,14.46,2017,11,1
439,439,2017-11-28,NorthEastern,29.11,30.47,0.0,0.0,12.92,14.57,2017,11,1
444,444,2017-11-29,NorthEastern,29.11,29.75,0.0,0.0,12.92,14.15,2017,11,1
449,449,2017-11-30,NorthEastern,29.11,28.22,0.0,0.0,12.92,14.01,2017,11,1
454,454,2017-12-01,NorthEastern,29.14,27.3,0.0,0.0,12.11,13.4,2017,12,1
459,459,2017-12-02,NorthEastern,29.14,27.27,0.0,0.0,12.11,13.71,2017,12,1
464,464,2017-12-03,NorthEastern,29.14,27.26,0.0,0.0,12.11,13.43,2017,12,1
469,469,2017-12-04,NorthEastern,29.14,32.44,0.0,0.0,12.11,12.18,2017,12,1
474,474,2017-12-05,NorthEastern,29.14,33.02,0.0,0.0,12.11,12.73,2017,12,1
479,479,2017-12-06,NorthEastern,29.14,29.4,0.0,0.0,12.11,12.7,2017,12,1
484,484,2017-12-07,NorthEastern,29.14,32.1,0.0,0.0,12.11,12.67,2017,12,1
489,489,2017-12-08,NorthEastern,29.14,32.83,0.0,0.0,12.11,12.76,2017,12,1
494,494,2017-12-09,NorthEastern,29.14,32.78,0.0,0.0,12.11,13.26,2017,12,1
499,499,2017-12-10,NorthEastern,29.14,32.96,0.0,0.0,12.11,13.35,2017,12,1
504,504,2017-12-11,NorthEastern,29.14,32.31,0.0,0.0,12.11,13.03,2017,12,1
509,509,2017-12-12,NorthEastern,29.14,33.8,0.0,0.0,12.11,12.68,2017,12,1
514,514,2017-12-13,NorthEastern,29.14,35.15,0.0,0.0,12.11,12.99,2017,12,1
519,519,2017-12-14,NorthEastern,29.14,33.88,0.0,0.0,12.11,13.06,2017,12,1
524,524,2017-12-15,NorthEastern,29.14,33.5,0.0,0.0,12.11,13.44,2017,12,1
529,529,2017-12-16,NorthEastern,29.14,32.58,0.0,0.0,12.11,12.78,2017,12,1
534,534,2017-12-17,NorthEastern,29.14,27.01,0.0,0.0,12.11,13.02,2017,12,1
539,539,2017-12-18,NorthEastern,29.14,30.84,0.0,0.0,12.11,12.23,2017,12,1
544,544,2017-12-19,NorthEastern,29.14,32.01,0.0,0.0,12.11,12.31,2017,12,1
549,549,2017-12-20,NorthEastern,29.14,30.19,0.0,0.0,12.11,12.34,2017,12,1
554,554,2017-12-21,NorthEastern,29.14,30.24,0.0,0.0,12.11,11.49,2017,12,1
559,559,2017-12-22,NorthEastern,29.14,29.98,0.0,0.0,12.11,11.51,2017,12,1
564,564,2017-12-23,NorthEastern,29.14,30.12,0.0,0.0,12.11,11.57,2017,12,1
569,569,2017-12-24,NorthEastern,29.14,29.35,0.0,0.0,12.11,11.57,2017,12,1
574,574,2017-12-25,NorthEastern,29.14,34.54,0.0,0.0,12.11,10.69,2017,12,1
579,579,2017-12-26,NorthEastern,29.14,33.0,0.0,0.0,12.11,10.97,2017,12,1
584,584,2017-12-27,NorthEastern,29.14,28.46,0.0,0.0,12.11,10.57,2017,12,1
589,589,2017-12-28,NorthEastern,29.14,30.83,0.0,0.0,12.11,9.83,2017,12,1
594,594,2017-12-29,NorthEastern,29.14,31.17,0.0,0.0,12.11,9.62,2017,12,1
599,599,2017-12-30,NorthEastern,29.14,35.21,0.0,0.0,12.11,8.76,2017,12,1
604,604,2017-12-31,NorthEastern,29.14,35.71,0.0,0.0,12.11,9.17,2017,12,1
609,609,2018-01-01,NorthEastern,31.88,35.76,0.0,0.0,11.28,8.56,2018,1,1
614,614,2018-01-02,NorthEastern,31.88,36.26,0.0,0.0,11.28,8.66,2018,1,1
619,619,2018-01-03,NorthEastern,31.88,36.06,0.0,0.0,11.28,8.17,2018,1,1
624,624,2018-01-04,NorthEastern,31.88,35.25,0.0,0.0,11.28,8.34,2018,1,1
629,629,2018-01-05,NorthEastern,31.88,30.75,0.0,0.0,11.28,8.43,2018,1,1
634,634,2018-01-06,NorthEastern,31.88,30.47,0.0,0.0,11.28,8.33,2018,1,1
639,639,2018-01-07,NorthEastern,31.88,33.04,0.0,0.0,11.28,8.03,2018,1,1
644,644,2018-01-08,NorthEastern,31.88,33.83,0.0,0.0,11.28,8.84,2018,1,1
649,649,2018-01-09,NorthEastern,31.88,34.13,0.0,0.0,11.28,8.61,2018,1,1
654,654,2018-01-10,NorthEastern,31.88,34.24,0.0,0.0,11.28,8.28,2018,1,1
659,659,2018-01-11,NorthEastern,31.88,32.43,0.0,0.0,11.28,8.37,2018,1,1
664,664,2018-01-12,NorthEastern,31.88,32.81,0.0,0.0,11.28,8.15,2018,1,1
669,669,2018-01-13,NorthEastern,31.88,32.63,0.0,0.0,11.28,8.22,2018,1,1
674,674,2018-01-14,NorthEastern,31.88,32.51,0.0,0.0,11.28,8.04,2018,1,1
679,679,2018-01-15,NorthEastern,31.88,33.18,0.0,0.0,11.28,8.4,2018,1,1
684,684,2018-01-16,NorthEastern,31.88,33.47,0.0,0.0,11.28,6.96,2018,1,1
689,689,2018-01-17,NorthEastern,31.88,33.53,0.0,0.0,11.28,7.18,2018,1,1
694,694,2018-01-18,NorthEastern,31.88,31.99,0.0,0.0,11.28,7.45,2018,1,1
699,699,2018-01-19,NorthEastern,31.88,31.43,0.0,0.0,11.28,7.58,2018,1,1
704,704,2018-01-20,NorthEastern,31.88,32.79,0.0,0.0,11.28,7.48,2018,1,1
709,709,2018-01-21,NorthEastern,31.88,32.93,0.0,0.0,11.28,7.14,2018,1,1
714,714,2018-01-22,NorthEastern,31.88,31.81,0.0,0.0,11.28,7.58,2018,1,1
719,719,2018-01-23,NorthEastern,31.88,32.09,0.0,0.0,11.28,7.32,2018,1,1
724,724,2018-01-24,NorthEastern,31.88,31.83,0.0,0.0,11.28,7.58,2018,1,1
729,729,2018-01-25,NorthEastern,31.88,31.95,0.0,0.0,11.28,7.57,2018,1,1
734,734,2018-01-26,NorthEastern,31.88,30.49,0.0,0.0,11.28,8.22,2018,1,1
739,739,2018-01-27,NorthEastern,31.88,32.4,0.0,0.0,11.28,8.21,2018,1,1
744,744,2018-01-28,NorthEastern,31.88,32.71,0.0,0.0,11.28,8.28,2018,1,1
749,749,2018-01-29,NorthEastern,31.88,28.29,0.0,0.0,11.28,8.01,2018,1,1
754,754,2018-01-30,NorthEastern,31.88,33.29,0.0,0.0,11.28,7.38,2018,1,1
759,759,2018-01-31,NorthEastern,31.88,34.13,0.0,0.0,11.28,7.57,2018,1,1
764,764,2018-02-01,NorthEastern,31.93,33.47,0.0,0.0,10.24,6.97,2018,2,1
769,769,2018-02-02,NorthEastern,31.93,33.76,0.0,0.0,10.24,6.78,2018,2,1
774,774,2018-02-03,NorthEastern,31.93,34.41,0.0,0.0,10.24,6.28,2018,2,1
779,779,2018-02-04,NorthEastern,31.93,32.97,0.0,0.0,10.24,7.39,2018,2,1
784,784,2018-02-05,NorthEastern,31.93,34.31,0.0,0.0,10.24,7.66,2018,2,1
789,789,2018-02-06,NorthEastern,31.93,34.55,0.0,0.0,10.24,7.25,2018,2,1
794,794,2018-02-07,NorthEastern,31.93,34.5,0.0,0.0,10.24,7.87,2018,2,1
799,799,2018-02-08,NorthEastern,31.93,34.07,0.0,0.0,10.24,8.58,2018,2,1
804,804,2018-02-09,NorthEastern,31.93,34.05,0.0,0.0,10.24,8.15,2018,2,1
809,809,2018-02-10,NorthEastern,31.93,33.51,0.0,0.0,10.24,7.48,2018,2,1
814,814,2018-02-11,NorthEastern,31.93,33.36,0.0,0.0,10.24,7.13,2018,2,1
