,,Thermal Generation Actual (in MU),Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Hydro Generation Estimated (in MU)
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Year,Month,,,,,,,,,,,,
2017,9,556.6895333333334,353.75614932561496,553.5129333333333,374.89078675352897,22.863600000000016,23.28801285334835,17.269799999999993,21.04836391384528,110.47933333333334,85.31864787208222,91.10379999999999,92.55115859861671
2017,10,574.4132666666671,357.2480730153068,567.0691333333332,376.3476604659181,19.732000000000024,18.107901868165563,20.210733333333327,19.442223375791755,77.432,46.76294497589723,71.24093333333339,57.124262518220405
2017,11,558.1196000000002,343.79573407811324,559.9025333333333,372.13670983158516,18.560000000000002,17.922707654381618,23.22453333333334,22.62926301079275,57.12000000000003,35.83878162628267,48.69579999999999,36.26351466232181
2017,12,563.7812258064519,338.61859075799305,552.6995483870967,360.70964237782744,17.988451612903223,15.804933149894799,25.119483870967745,23.825679281782808,50.38600000000002,33.82769469017876,44.48206451612905,36.955897648883756
2018,1,580.3414193548385,350.4212043902081,584.3189677419352,380.8065140740967,20.176000000000013,17.81832438519694,25.294129032258063,25.372367927904495,48.09600000000004,31.374017490695934,42.706516129032245,34.941315859847
2018,2,589.8119999999998,362.6774634847225,589.9313571428571,371.3965019209956,22.343,21.683799499152,23.369142857142872,23.958401313623256,53.70599999999996,37.076995772845024,40.69064285714287,31.893735796187293
2018,3,597.6498709677422,366.7929175872826,612.9640645161288,370.5611542755766,23.674000000000024,23.32585772145493,19.773870967741928,17.965608681809748,60.55399999999998,44.75130046140573,45.225548387096765,35.361332541992404
2018,4,601.2141999999993,386.3942798259851,617.488,392.8770785103045,16.720000000000006,17.483897481423863,21.442533333333337,18.7894652829634,57.71,51.98262151524598,50.14886666666667,40.87843223751211
2018,5,599.1804516129027,382.36607083581316,623.0863225806456,401.03317285468455,17.516516129032244,18.059485279571227,19.958129032258064,18.214803697802417,76.25399999999993,85.81039461601283,68.62503225806454,65.52928741850376
2018,6,580.553066666667,361.1726457957044,573.0655333333335,375.7553314576403,23.81400000000001,23.461705425576163,22.07486666666667,19.281999142249237,86.90999999999988,109.66776648911664,88.36253333333337,103.22748641028772
2018,7,556.8990967741935,347.2290188856941,530.7145161290324,346.2260145777339,16.973999999999986,16.22664721992809,22.410709677419355,19.79482751241683,99.69799999999995,109.23247494375315,101.9324516129032,113.947314160274
2018,8,572.977266666667,358.9149776437904,538.3419999999995,368.04118562206315,20.065999999999992,17.627023488013503,17.298733333333335,14.37094604857649,113.05399999999987,109.54769092919973,119.5906666666667,115.75510805646248
2018,9,588.0449333333331,371.3496317863367,581.1967999999997,396.71048431341956,17.445999999999987,17.736710423421115,17.072733333333332,14.430411720101164,104.94400000000013,79.28885969972848,116.14106666666672,100.9499185432467
2018,10,609.1832903225804,390.60458084124963,628.1149032258063,426.08517392129784,21.692645161290287,24.913878651289806,19.56838709677419,16.73100910176875,69.18600000000005,45.90114447827618,81.42961290322576,62.952471877072455
2018,11,600.1504666666668,388.43688566365057,588.1498666666666,395.7430452220136,23.873000000000015,23.342093231819486,20.753999999999998,17.5476307508006,52.31599999999996,35.095260736664954,55.79613333333331,48.29041967024527
2018,12,599.5994193548383,375.7359603502305,579.4625161290326,382.7987021151334,21.691999999999958,24.023089283048062,19.054000000000002,16.00522587546565,46.216000000000065,32.59002708980595,49.58051612903227,39.64444054297712
2019,1,622.9101935483881,388.4649480376041,582.0229677419356,378.3311277521322,21.78038709677418,24.798693458563093,19.431806451612903,16.30558331875598,45.14,30.950540414475025,45.680838709677445,36.26067531041476
2019,2,619.7167142857145,386.59088702230764,580.3110714285716,380.2345004360669,25.419999999999998,25.065060780745096,19.876999999999995,17.296036211603326,48.047999999999966,34.4727185053787,50.955500000000015,46.14303527147674
